text	labels	predictions
tell  bitch get  bitch  bitch bring	OFF	OFF
mikeymikerowav sneakerluk wojtata joecushkush yeah like im annoy ass bitch support dont bitch	OFF	OFF
shainarakia doubt caus bitch aint noth nigga downfal	OFF	NOT
jacsonbeven markkiszla absolut retard articl 	OFF	OFF
rt dragonflyjonez might hoe stroll joke asid rt toolivemilz dej loaf dress like jerom 	OFF	NOT
sequoiagabri yeah hoe	OFF	NOT
act like spoil littl faggot fun	OFF	OFF
liveitupjersey bwahaaaa choke oreo cookieim figur may someth 	NOT	NOT
rt mshomicid got hoe got hella 	OFF	OFF
rt taxston woman reveng man hoe	OFF	NOT
one deep phantom ghost bad bitch excus manner go	OFF	NOT
ching daughter date littl fag bag  pimpslapncow 	OFF	OFF
kingxxlopez robert fuckin  smack shit outta	OFF	NOT
rt     zielonkoo   datdudezp big booti hoe	OFF	NOT
tarbetto find one beat nathan moon head ice ol andrew straight trash far hockey	NOT	OFF
justinbieb fun get deport fuck faggot	OFF	OFF
 txt old bitch new bitch pussi wetter 	OFF	OFF
texashumor drink bitch beer outta badass kuzi	OFF	OFF
rt jaredcarrabi mike napoli toughest son bitch ive ever known	OFF	OFF
rt tiffnasti yall nigga entertain nicol bitch dont see yall ever take bitch post nake pic 	OFF	NOT
damianhuffak your trash	NOT	NOT
hate peopl call mate england fuck twat	OFF	OFF
 back atcha bitch	OFF	NOT
 forgot someon niglet	OFF	OFF
rt  redskin gonna win that im say night	NOT	OFF
like eagl tryna catch earli bird catch worm	NOT	NOT
 gtgt homecom  day ltlt bet u didnt even date bitch went say corner	OFF	NOT
way u nigger employe month	OFF	OFF
fight tubbi bitch josecanseco ill fight 	OFF	OFF
 vikkifusco flyersfan your still bitch	OFF	OFF
rt cashflowho im pretti   yall lil bitch petti shit  	OFF	NOT
rt hypper roast hoe	OFF	NOT
rt lifeofayungin pussi never turn rememb  	OFF	NOT
rt pzfeed diplomat troll russian embassi mock nato satellit pictur 	NOT	NOT
rt omgdizzystarz  aye least bitch hot box lmao	OFF	NOT
