text	labels	predictions
tell  bitch get  bitch  bitch bring	OFF	NOT
mikeymikerowav sneakerluk wojtata joecushkush yeah like im annoy ass bitch support dont bitch	OFF	NOT
shainarakia doubt caus bitch aint noth nigga downfal	OFF	NOT
jacsonbeven markkiszla absolut retard articl 	OFF	OFF
rt dragonflyjonez might hoe stroll joke asid rt toolivemilz dej loaf dress like jerom 	OFF	NOT
sequoiagabri yeah hoe	OFF	NOT
act like spoil littl faggot fun	OFF	OFF
liveitupjersey bwahaaaa choke oreo cookieim figur may someth 	NOT	NOT
rt mshomicid got hoe got hella 	OFF	NOT
rt taxston woman reveng man hoe	OFF	NOT
one deep phantom ghost bad bitch excus manner go	OFF	NOT
ching daughter date littl fag bag  pimpslapncow 	OFF	OFF
kingxxlopez robert fuckin  smack shit outta	OFF	NOT
rt     zielonkoo   datdudezp big booti hoe	OFF	NOT
tarbetto find one beat nathan moon head ice ol andrew straight trash far hockey	NOT	NOT
justinbieb fun get deport fuck faggot	OFF	OFF
 txt old bitch new bitch pussi wetter 	OFF	OFF
texashumor drink bitch beer outta badass kuzi	OFF	OFF
rt jaredcarrabi mike napoli toughest son bitch ive ever known	OFF	OFF
rt tiffnasti yall nigga entertain nicol bitch dont see yall ever take bitch post nake pic 	OFF	NOT
damianhuffak your trash	NOT	OFF
hate peopl call mate england fuck twat	OFF	OFF
 back atcha bitch	OFF	NOT
 forgot someon niglet	OFF	OFF
rt  redskin gonna win that im say night	NOT	NOT
like eagl tryna catch earli bird catch worm	NOT	NOT
 gtgt homecom  day ltlt bet u didnt even date bitch went say corner	OFF	NOT
way u nigger employe month	OFF	OFF
fight tubbi bitch josecanseco ill fight 	OFF	NOT
 vikkifusco flyersfan your still bitch	OFF	NOT
rt cashflowho im pretti   yall lil bitch petti shit  	OFF	NOT
rt hypper roast hoe	OFF	NOT
rt lifeofayungin pussi never turn rememb  	OFF	OFF
rt pzfeed diplomat troll russian embassi mock nato satellit pictur 	NOT	OFF
rt omgdizzystarz  aye least bitch hot box lmao	OFF	NOT
nyrkelsmad  ware da color elit meet eat	OFF	NOT
aint nuttin white trash parti	OFF	OFF
denzi boutta takin erri bodi bitch	OFF	OFF
rt itsfoodporn oreo ice cream cake 	NOT	NOT
bitch wanna nigga get couch go fine 	OFF	OFF
girl hoe	NOT	NOT
infidelali  muzzi fucker hope set go full bacon pork rind	OFF	OFF
girlthatsvont yall bitch wit edg talk 	OFF	NOT
 actual good lol dont hoe mean that road glori shit gtgo northern illinoi undef amp heisman	OFF	NOT
rt mirrorweirdnew ador tini monkey shower sink cutest viral video youll see weekend  	NOT	NOT
coleyce bad bitch ayee 	OFF	NOT
rt richbitxh highwaist jean made everyon bitch look horribl	OFF	NOT
rt roachnigga yall nigga think hang around crib noth bitch get bread 	OFF	OFF
rt barryclerjust yall want foreign bitch sooo bad cant even pull local hoe	OFF	NOT
hoe crazi yo	OFF	NOT
rt boobah hoe fuck us nigga got news monogam nigga yo bitch fuck anonym nigga	OFF	OFF
kuhnatekuhnit studlydubl talkin bout bitch gettin butthurt right	OFF	NOT
rt femai swear  forev bitch 	OFF	NOT
im camera shi dont talk phone love rainif youn kno life wouldnt understand	NOT	NOT
niggah actin like pimp pay bitch 	OFF	OFF
rt rtamerica us armi remov  offici refer black peopl public outrag  	OFF	OFF
callneeshcakey  das new bae  bitch bad naw lmao	OFF	NOT
rt xixmcmlxxxv make pussi sing  aint rt mikegotho dumb ass thought microphon 	OFF	OFF
hoe social media hoe real life	OFF	NOT
rt iamjazz shaaaaayi wish born differ generat  caus yall make pussi bone hurt  sicken ass children 	OFF	OFF
renaissancejay dont send box droid da mile nigga got da dro droid na drum fo pussi boy yeer	OFF	OFF
rt rmpharri told home girl bitch bet chang mee	OFF	NOT
bamndeymouth grindin cuzz that shit dont stop wat good witcha thou bitch mia	OFF	OFF
amosporr congrat amo 	NOT	NOT
hoe look clean foot	OFF	NOT
sis said go sleep said bitch b day aint sleep 	OFF	NOT
amp hes gone alway hoe	OFF	NOT
rt ariesspear young cat draft nba today walk lotto ticket wait till nigga find pussi 	OFF	NOT
american degener enough honor war dead barbecu anyon grill memori day trash	NOT	OFF
rt nikowavi fact  pussi good  nigga none still 	OFF	OFF
rt joscarjr paullemat happi birthday take spin yellow coup shutemdown 	NOT	NOT
know trash grown ass woman gotta nigga fuck around  year old  year old landfil trash	OFF	OFF
iggi trend twitter trash today	NOT	NOT
yehitsvon  must   sike naw alway beef 	OFF	OFF
sbsylvest kiefferjason nigga stfu u funni laugh yo retard ass stfu	OFF	OFF
even know bitch	OFF	NOT
rt nflmeme buckwheat porki 	NOT	OFF
real basketbal player get disappoint throw someth trash miss	NOT	NOT
bill cosbi steal pussi	OFF	OFF
mikelucka oh pain med made brain fuzzi though banjo kazooi sec	NOT	OFF
jazqui that im partial glad say hi ho kermit frog slip kermit voic well	NOT	NOT
oomf hoe know hoe know hoe wont claim hoe say aint hoe butw know hoe hoe	OFF	NOT
brenddan said bullshit damn nigger	OFF	OFF
got damn laker trash	NOT	NOT
rt blaff  im  johnnyrohrcock	OFF	NOT
jawshoeeahhh keepitplur bitch beat lose twice lol  hater	OFF	OFF
new local mall wasnt ghetto	OFF	NOT
grandehead got hoe bootleg haha wanna borrow	OFF	NOT
rt prayingforhead tyga use good got swag fag shit	OFF	OFF
alee bitch u love	OFF	NOT
  pcktsizeca dont hoe haha	OFF	NOT
kid look like retard tri hide phone obvious	OFF	OFF
rt   im ugli dont worri 	OFF	NOT
one hoe  make known	OFF	NOT
sizzurp bootyacid  yopapichulo bet faggot	OFF	OFF
ssickstori lester tri eat bird	NOT	NOT
aint bitch ass boom bap click clack move back	OFF	OFF
 ayi might well get fat hoe dont even like ab nomo like balla belli	OFF	OFF
rt charcharkuhlman first day spring break ate half pan browni amp watch  episod park rec victoriakuhlman amp 	NOT	NOT
tbt nigguh 	OFF	NOT
 u said  hoe 	OFF	NOT
might freak bitch dont need 	OFF	NOT
lot bitch eat ass nowaday 	OFF	OFF
bitch truli aint shit 	OFF	OFF
life come fast rt indxgo guy today found im side hoe 	OFF	NOT
deal bitch ass annoy	OFF	OFF
thedarius boy clean bitch	OFF	NOT
rt  serious florida vote charli christ vote tax ebola	NOT	NOT
rt markiiejay got nigga amp got bitch	OFF	NOT
rt carterazoo nephew adam rose bet aint got hoe though	OFF	NOT
lmao drake bullshit serena william wallah look like tranni	OFF	NOT
music stop play hear fuck bitch ill spit 	OFF	NOT
rt  dont give fuck ex bitch isnt problem anymor	OFF	OFF
slim niggah know love em thick	OFF	NOT
rt adddisonn smoke good weed bad bitch	OFF	NOT
yanke nice bounc back michael kay gotta keep go	NOT	NOT
b quick dub bitch sad 	OFF	NOT
nigga u cunt yo fendi clutch	OFF	OFF
 moneydriven stfu hoe fuck answer smack shit outta faggot aunt	OFF	OFF
rt kivnaaa vivalakash  god think  lol peopl school show nigguh video  im like  famous oss 	OFF	NOT
 westsidefle kekepalm damn got wifey  back nigga  dont share hoe	OFF	OFF
turn bitch 	OFF	NOT
rt phocus bossshlton bitch 	OFF	NOT
found boom boom boom waaaaay ho girl fuck someon sing  year progress 	OFF	NOT
know yall bitch tell yall self wwhd would hustlelinaa  cuz yall ass stay follow 	OFF	NOT
went ya bitch hous virgin anymor	OFF	OFF
rt lilduv maaan hoe photoshop rt  lilduv damn suppos nigga get catfish	OFF	NOT
rt buttholeteeth pussi look like die six month ago	OFF	OFF
yall know skip bayless slit wrist romo lol	NOT	NOT
strap aint share bitch mine mine 	OFF	NOT
done dun kind shit yall nicca fill shit	OFF	OFF
chop rt  bird call flap hand	NOT	NOT
im go dress trash halloween oh wait look like everyday	NOT	NOT
ampamp hoe 	OFF	NOT
xpriceless bitch u forcin talkin famili shit watch	OFF	OFF
wake stoopid dyke randypawlik	OFF	OFF
photo rest peac bad boy  bad advis made let old asian dude glue sole 	NOT	NOT
